Date,Category,City,Medium,Time,Duration
25-Aug,Family,Kakinada,Google Voice,9:17 AM,00:07
25-Aug,Family,Kakinada,Google Voice,10:47 AM,00:27
25-Aug,Friend,Kakinada,Whatsapp,11:13 AM,00:05
26-Aug,Family,Kakinada,Google Voice,9:22 AM,00:19
26-Aug,Friend,Hyderabad,Whatsapp,11:44 AM,00:17
26-Aug,Friend,Hyderabad,Whatsapp,12:09 PM,00:26
26-Aug,Friend,Kakinada,Skype,9:39 AM,01:13
27-Aug,Family,Hyderabad,Google Voice,1:59 PM,01:40
27-Aug,Family,Hyderabad,Google Voice,8:02 PM,00:05
27-Aug,Family,Hyderabad,Google Voice,8:09 PM,00:10
27-Aug,Family,Kakinada,Google Voice,10:32 AM,00:12
27-Aug,Family,Kakinada,Google Voice,10:45 AM,01:19
27-Aug,Friend,Hyderabad,Whatsapp,3:38 PM,00:06
28-Aug,Family,Hyderabad,Google Voice,7:43 PM,00:25
28-Aug,Family,Kakinada,Google Voice,8:41 AM,00:16
28-Aug,Family,Kakinada,Google Voice,8:56 AM,00:22
28-Aug,Family,Kakinada,Google Voice,9:18 AM,00:05
28-Aug,Family,Kakinada,Google Voice,11:11 AM,00:20
28-Aug,Family,Kakinada,Google Voice,7:33 PM,00:10
28-Aug,Friend,Hyderabad,Whatsapp,12:59 PM,00:33
28-Aug,Friend,Kakinada,Skype,10:53 AM,00:59
28-Aug,Friend,Kakinada,Whatsapp,9:23 AM,00:28
29-Aug,Family,Hyderabad,Rebtel,12:58 AM,00:03
29-Aug,Family,Hyderabad,Rebtel,9:46 PM,00:07
29-Aug,Family,Kakinada,Rebtel,1:28 AM,00:31
29-Aug,Family,Kakinada,Rebtel,7:37 AM,00:28
29-Aug,Family,Kakinada,Rebtel,8:21 AM,00:04
29-Aug,Family,Kakinada,Rebtel,10:38 PM,00:11
29-Aug,Friend,Chicago,Voice Call,9:46 PM,00:10
29-Aug,Friend,Kakinada,Whatsapp,1:51 AM,00:05
30-Aug,Family,Hyderabad,Rebtel,1:09 AM,00:05
30-Aug,Family,Hyderabad,Rebtel,11:15 PM,00:08
30-Aug,Family,Kakinada,Rebtel,9:33 AM,00:22
30-Aug,Friend,Chicago,Voice Call,5:11 PM,00:03
30-Aug,Friend,San Francisco,FaceTime,10:34 PM,00:34
31-Aug,Family,Kakinada,Rebtel,9:40 AM,00:03
31-Aug,Family,Kakinada,Rebtel,1:00 PM,00:04
31-Aug,Family,Kakinada,Rebtel,1:04 PM,00:03
31-Aug,Family,Kakinada,Rebtel,8:35 PM,00:11
31-Aug,Family,Kakinada,Rebtel,8:58 PM,00:43
31-Aug,Family,Kakinada,Rebtel,10:46 PM,00:57
31-Aug,Friend,Chicago,Voice Call,5:16 PM,00:08
31-Aug,Friend,Chicago,Voice Call,6:54 PM,00:04
31-Aug,Friend,Kakinada,Skype,9:11 AM,00:14
31-Aug,Friend,San Francisco,FaceTime,11:49 AM,01:03
1-Sep,Family,Hyderabad,Rebtel,1:25 AM,00:13
1-Sep,Family,Kakinada,Rebtel,10:29 PM,00:07
1-Sep,Friend,Chicago,Voice Call,7:36 AM,00:04
1-Sep,Friend,Chicago,Voice Call,12:20 PM,00:06
2-Sep,Family,Hyderabad,Rebtel,12:29 AM,00:08
2-Sep,Family,Kakinada,Rebtel,9:36 AM,00:57
2-Sep,Friend,Chicago,Voice Call,12:34 AM,00:13
2-Sep,Friend,Chicago,Voice Call,2:40 PM,00:08
2-Sep,Friend,Chicago,Voice Call,5:44 PM,00:06
2-Sep,Friend,Chicago,Voice Call,5:15 PM,00:12
2-Sep,Friend,Kakinada,Whatsapp,10:24 PM,00:07
3-Sep,Friend,Chicago,Voice Call,12:38 AM,00:08
3-Sep,Friend,Hyderabad,Rebtel,10:26 AM,00:42
3-Sep,Friend,San Francisco,Voice Call,11:36 PM,00:35
4-Sep,Friend,Kakinada,Rebtel,11:18 AM,00:14